ghidra_name,real_addr,proposed_name,subsystem,confidence,basis,purpose,notes,project_addr
FUN_0801a514,0x0801D114,UI_DrawToneFieldNarrow,UI,Medium,"Owns "" D%03oN "", "" %6X "", "" %d.%0.1d "" and "" NONE "" at one field width",Draws a sub-audible tone field.,"Near-duplicate of UI_DrawToneFieldWide; the two differ only in padding, so they are the same field drawn in two layouts.",0x0801A514
FUN_0801a66c,0x0801D26C,UI_DrawScanStatus,UI,Medium,"Owns ""SCANQT"", ""STOP"" and ""RUNNING""",Draws the scanner state indicator.,SCANQT is presumably scan-with-tone-qualify; unconfirmed.,0x0801A66C
FUN_0801aa9c,0x0801D69C,BK4829_CheckSquelchLink,RF/BK4829,High,"Decompile: returns open when the squelch setting byte is zero, otherwise returns bit 1 of register 0x0C. RT-890 BK4819_CheckSquelchLink is the same test on the same register and bit",Reports whether the squelch is currently open.,"The shift test (value << 0x1E < 0) is bit 1. Also pins SRAM 0x2000A7C0[0] as the squelch setting, the 890 gSettings.Squelch. The 890 additionally bypasses on monitor mode; the 950 guard here is a single byte.",0x0801AA9C
FUN_0801ab04,0x0801D704,RF_SelectPath,RF,High,"Decompile cross-referenced against the HW_PROBED silkscreen names in rt950-scratch/include/rt950_pinmap.h: PE12=U3R, PE13=U6R, PE14=SW3T, PE7=U3T, PB0=V3R, PB1=V3T. Each call drives exactly one line high and clears the competing ones","Selects the RF front-end path for a band, in either receive or transmit.","*** CORRECTION *** The existing catalogue calls this PTT_Relay_Select and pinout.md reads PE13/PE12/PE14/PE7 as primary PTT / external PTT / PA gate / mic toggle. It is an antenna-path switch matrix. mode 1 = pick RX path (band 1,3 -> U3R; band 4 -> U6R; else V3R), mode 2 = pick TX path (band 0,2 -> V3T; band 1,3 -> U3T; band 4 -> SW3T), mode 3 = all RX off, mode 0 = everything off. Note Hertzz58 annotates these pins ACTIVE LOW, but the code drives the SELECTED line high and the others low - active low would mean it disables the path it is selecting, so active high is the correct reading and that annotation looks wrong. Hertzz58 also carries PTT_PRIMARY/PTT_EXTERNAL aliases that it marks as inherited JKI757 labels, i.e. the same mistake imported.",0x0801AB04
FUN_0801ac8c,0x0801D88C,BK4829_EnableFFSK,RF/BK4829,High,"Decompile: writes registers 0x70, 0x72, 0x58, 0x5C, 0x5D in the same order as RT-890 BK4819_EnableFFSK1200, and disables by writing 0x70=0 then 0x58=0 exactly as the 890 does. 0x5C=0x5665 and 0x5D=0x0F00 are bit-identical to the 890",Enables or disables the FFSK data modem.,"The three rate-dependent constants differ from the 890 (0x70=0x00AC vs 0x00E0, 0x72=0x60CA vs 0x3065, 0x58=0x00C9 vs 0x37C3), which is what a different FFSK bit rate looks like - the 890 path is explicitly 1200 baud, so the 950 is probably not. Also writes 0x59/0x3F, which the 890 does in its FSK reset path. NOTE (later evidence): a second routine at 0x0801BBE4 writes 0x72=0x3065, which is the 890 1200-baud constant exactly, so THAT one is the 1200-baud path and this one is a different rate. Treat the rate labelling of the two as unresolved.",0x0801AC8C
FUN_0801ad14,0x0801D914,BK4829_SetCtcssTxGain,RF/BK4829,High,"Decompile: writes register 0x51 as (gain & 0x7F) | 0x9000, the exact idiom of RT-890 BK4819_WriteRegister(0x51, CtcssTxGain | 0x9000); writes 0x51=0 to disable, plus 0x07=0x471 and a masked update of 0x52",Enables CTCSS transmission and applies the per-band TX gain.,"Gain is read from the band-calibration block at SRAM 0x2000011E, the same source the 890 calls gFrequencyBandInfo.CtcssTxGainNarrow/Wide.",0x0801AD14
FUN_0801ad94,0x0801D994,RADIO_ApplyChannelConfig,RF,Medium-High,"Called from state 0 of RADIO_RunStateMachine with ten arguments drawn from the channel record and settings (frequency, sub-audible codes, power, bandwidth flags), immediately before the machine advances to receive",Programs the transceiver for the current channel.,The single point where a channel becomes live RF state. Two call sites differ only in whether the config comes from an explicit block or a pointer at +0x1C.,0x0801AD94
FUN_0801ae2e,0x0801DA2E,BK4829_SetAudioMute,RF/BK4829,Medium-High,Decompile: forwards to BK4829_SetAfModeAndGain with AF mode 1 when muting and 0 otherwise,Mutes or unmutes the receiver audio path.,"7 callers, all around state transitions.",0x0801AE2E
FUN_0801b3bc,0x0801DFBC,UI_ResetEditBuffer,UI,Low,Clears a 0x54-byte struct at SRAM 0x2000A2E0 and sets the byte at 0x20000B2C to 0xFF; 26 callers,Resets an edit/scratch record.,Shape-based only. 0x54 bytes is a plausible channel or menu-edit record; the 0xFF sentinel suggests 'no selection'.,0x0801B3BC
FUN_0801b484,0x0801E084,UI_ResetMenuTimeout,UI,Medium,Decompile: reloads the countdown at UI-state +0x2E with settings byte 0x2000A7C0[0x10] multiplied by 50,Restarts the menu/display inactivity timeout.,"Implies SRAM 0x2000A7C0+0x10 is the user-set timeout, in units of 50 ticks. 11 callers.",0x0801B484
FUN_0801b7dc,0x0801E3DC,AUDIO_SetHardwareMute,Audio,Low-Medium,"Decompile: drives GPIOC bit 0x0010 (PC4) high or low, either directly from its second argument or from radio-state conditions when the first argument is zero",Drives the hardware audio mute line.,"PC4 is not in the Hertzz58 pinmap, so the pin function is inferred from context: it is toggled around transmit and receive transitions alongside the BK4829 mute. Needs a scope to confirm.",0x0801B7DC
FUN_0801b9a0,0x0801E5A0,BK4829_SetMicSensitivity,RF/BK4829,Medium-High,"Read-modify-write of BK4829 register 0x7D, replacing the low bits with a value from SRAM 0x2000011E. RT-890 analog: BK4819_SetMicSensitivityTuning() writes 0xE940 | Tuning to the same register 0x7D",Applies the per-band microphone sensitivity trim.,"The 950 preserves the high bits rather than rewriting the whole 0xE940 constant, but the register and the field are the same as the 890.",0x0801B9A0
FUN_0801b9cc,0x0801E5CC,BK4829_SetFrequency,RF/BK4829,High,Decompile: writes the low half of the frequency to register 0x38 and the high half to 0x39 - the same pair RT-890 BK4819_SetFrequency uses - then selects the channel filter via 0x43,Tunes the synthesiser and applies the matching filter bandwidth.,"Wide constant 0x43=0x3028 is bit-identical to the 890; the narrow constant differs (0x4008 here vs 0x4048 in the 890), which is a genuine per-model difference worth noting before copying filter settings across.",0x0801B9CC
FUN_8001ba14,0x0801E614,BK4829_SendByte,RF/BK4829,High,"RT-890 analog: I2C_Send() in driver/bk4819.c, called identically with (0x80|reg) for reads",Bit-bangs one byte to a BK4829 over the 3-wire bus.,Radtel/DualTachyon call this bus 'I2C' in the 890 even though it is a 3-wire SPI variant.,0x0801BA14
FUN_0801ba8c,0x0801E68C,BK4829_SetModulationMode,RF/BK4829,Low-Medium,"Decompile: toggles bit 0 of BK4829 register 0x31 and writes three constant sets to 0x42/0x2A/0x2B, selected by a mode argument (6, 8, or default)",Switches the transceiver between modulation/filter profiles.,"RT-890 shows register 0x31 as a bit-field (bit1 scramble, bit2 VOX, bit3 compander); bit 0 is not used by the 890 so its meaning here is unconfirmed. Constants: mode 6 -> 0x42=0x6F5C, 0x2A=0x7434, 0x2B=0x0500; default -> 0x42=0x6B5A, 0x2A=0x7400.",0x0801BA8C
FUN_0801bb28,0x0801E728,BK4829_TuneAndRestartRx,RF/BK4829,Medium-High,"Decompile: writes 0x37=0x9F1F, drops the transceiver, calls BK4829_SetFrequency, writes 0x51=0x0300, then returns to RX",Retunes and restarts the receiver with CSS auto-bandwidth disabled.,"The 890 writes 0x37=0x1F0F in BK4819_EnableRX; the 0x9F1F here sets an additional high bit, so the power-up sequencing differs slightly between models.",0x0801BB28
FUN_0801bbe4,0x0801E7E4,BK4829_ConfigureFfsk1200,RF/BK4829,Medium-High,"Decompile: writes 0x72=0x3065 - bit-identical to RT-890 BK4819_EnableFFSK1200 - plus 0x58, 0x70, 0x5D, 0x59, sync words 0x5A/0x5B, length 0x5C and 0x3F",Configures the FSK modem for the 1200-baud FFSK profile.,The matching 0x72 constant is what distinguishes this from the other FFSK setup at 0x0801AC8C. Sync words 0x5A=0xFB72 / 0x5B=0x4099 are specific to this profile.,0x0801BBE4
FUN_0801bca0,0x0801E8A0,BK4829_ResetFsk,RF/BK4829,Medium-High,"Decompile: writes 0x3F=0 and 0x59=0x0028, identical to RT-890 BK4819_ResetFSK, then 0x70=0 and 0x58=0, identical to the 890 FFSK disable path",Returns the FSK block to idle.,Effectively the 890 ResetFSK and EnableFFSK1200(false) merged into one routine. Where the 890 finishes with 0x30=0 (power off) the 950 leaves the transceiver state alone.,0x0801BCA0
FUN_0801bef4,0x0801EAF4,BK4829_SendFskPacket,RF/BK4829,Medium-High,"Decompile: configures 0x3F/0x59, loads sync words into 0x5A/0x5B, sets length via 0x5C, pushes seven halfwords into the 0x5F FIFO, then writes 0x59=0x0828 to start and polls for completion with a timeout",Transmits one FSK/FFSK data frame.,"Register roles follow the BK4819 FSK block (0x5A/0x5B sync, 0x5F FIFO, 0x59 control). The 7-halfword payload matches the 14-byte block copied in from the table at 0x0801BFD4.",0x0801BEF4
FUN_8001c04c,0x0801EC4C,BK4829_ReadRegister_Chip2,RF/BK4829,High,"Structure matches RT-890 BK4819_ReadRegister exactly: assert CS, send 0x80|reg, flip SDA to input, clock in 16 bits, release CS. CS pin = PE15 = Hertzz58 BK4829_SEN2_PIN",Reads a 16-bit register from BK4829 #2.,"*** CORRECTION *** The existing catalogue calls this Band_Relay_ShiftIn and pinout.md describes PE15/PE10/PE11 as an 'RF filter relay shift interface'. It is the BK4829 control bus: PE15=SEN2, PE10=SCK, PE11=SDA.",0x0801C04C
FUN_0801c110,0x0801ED10,BK4829_SetTransceiverState,RF/BK4829,High,"Decompile: writes BK4829 register 0x30 through the ops table, with constants bit-identical to the RT-890: 0x0200 priming, 0xBFF1 = RX, 0xC1FE = TX with mic, 0xC3FA = TX without mic, 0x0000 = off","Puts the transceiver into receive, transmit or off.","The strongest Rosetta match found so far - the magic values match RT-890 BK4819_EnableRX/EnableTX exactly (driver/bk4819.c lines 285-286, 517-527). Argument: 1 = RX, 2 = TX with mic, 3/4 = the remaining cases. Calls via *(0x20000B90), which re-confirms the ops table.",0x0801C110
FUN_0801c2d4,0x0801EED4,BK4829_DisableAutoCssBW,RF/BK4829,High,"Decompile: transceiver off, write 0x51=0x0300, transceiver back to RX. RT-890 BK4819_DisableAutoCssBW writes the identical 0x51=0x0300 then calls BK4819_EnableRX",Disables the automatic CSS bandwidth adjustment.,The 950 brackets the write with explicit state changes where the 890 uses a delay plus EnableRX; the register write is bit-identical.,0x0801C2D4
FUN_0801c2f8,0x0801EEF8,BK4829_SetAfModeAndGain,RF/BK4829,High,"Decompile: writes register 0x47 from a 16-entry mode table OR 0x6042, then register 0x48 as (gain & 0x3F) << 4 | 0xB00F. RT-890 BK4819_SetAF writes 0x47 and BK4819_SetAfGain writes 0x48, taking the gain from gFrequencyBandInfo.RX_DAC_GainNarrow/Wide exactly as this does",Selects the AF output mode and applies the per-band receive gain.,"Pins two more calibration fields: 0x2000011E[3] = RX DAC gain wide, [4] = narrow, selected by the same narrow/wide flag at ops+0x21 that BK4829_SetFrequency uses to pick the filter. Modes 3 and 0xF1 skip the gain write (mute paths).",0x0801C2F8
FUN_0801c3f4,0x0801EFF4,BK4829_RetuneFrequency,RF/BK4829,Medium-High,"Decompile: writes the frequency to 0x38/0x39, then reads 0x30, writes 0x30=0 and restores it",Retunes and bounces the PLL/power register so the synthesiser relocks.,"Distinct from BK4829_SetFrequency, which also selects the filter but does not restart the PLL. Likely the scan-step path.",0x0801C3F4
FUN_0801c460,0x0801F060,BK4829_EnableScramble,RF/BK4829,High,Decompile: read-modify-write of register 0x31 bit 1 plus a write to 0x71 - exactly the register pair and bit RT-890 BK4819_EnableScramble uses,Enables voice inversion scrambling at a selected level.,The 890 computes 0x71 arithmetically (0x68DC | level*1032); the 950 instead indexes a 9-entry table at 0x0801C520 and clamps the level to 9. Guarded by a frequency check before it will engage.,0x0801C460
FUN_0801c56c,0x0801F16C,BK4829_SetToneFrequency,RF/BK4829,High,Decompile: writes register 0x71 as (tone * 0xFC0FC) / 10000. RT-890 BK4819_SetToneFrequency writes the same register as (Tone * 103) / 10,Programs the tone generator frequency.,"Same register and the same physical scale factor: the 890 uses 10.3 counts per Hz, the 950 uses 103.2188 per 10 units - i.e. the 950 takes its tone argument in tenths of a hertz, giving 10x finer resolution with a more precise constant. Worth knowing before copying tone tables across models.",0x0801C56C
FUN_0801c614,0x0801F214,BK4829_RestoreRxAudio,RF/BK4829,Medium-High,"Decompile: clears the tone generator (SetToneFrequency(0), 0x70=0), selects RX or TX state from a helper, then re-applies AF mode/gain and the scramble setting",Returns the receiver to normal audio after a tone or data burst.,"Reads the scramble level from ops+0x26. The RX/TX choice comes from FUN_0801BDC4, which is the remaining unnamed predicate in this path.",0x0801C614
FUN_8001c68c,0x0801F28C,BK4829_ReadRegister_Chip1,RF/BK4829,High,Identical body to FUN_8001c04c but CS = PE8 = Hertzz58 BK4829_SEN1_PIN,Reads a 16-bit register from BK4829 #1.,*** CORRECTION *** Same as above. Confirms two BK4829s share SCK/SDA and differ only in chip select.,0x0801C68C
FUN_0801c8c8,0x0801F4C8,RADIO_EnterIdle,System,Low-Medium,"Calls DISPLAY_SetPanelEnable(0), AUDIO_SetPathOwner(6) (release owner 2), and clears three flags in the 0x2000A334 state struct",Tears down the active mode and returns to idle.,Shape-based; the call sequence is a clean shutdown but the exact scope is unconfirmed.,0x0801C8C8
FUN_8001cb52,0x0801F752,LCD_SetAddressWindow,Display,High,"Existing entry confirmed: emits 0x2A then 0x2B, each with start and end-1",Defines the drawing rectangle.,"Args are (x0, x_end_exclusive, y0, y_end_exclusive); the function subtracts 1 before sending.",0x0801CB52
FUN_8001e460,0x08021060,APRS_Handler,APRS,Low-Medium,Literal pool reaches the string 'APRS',APRS-related feature entry point.,Newly surfaced; needs decomposition.,0x0801E460
FUN_0801f174,0x08021D74,UI_DrawToneFieldWide,UI,Medium,Same string set as UI_DrawToneFieldNarrow with wider padding,Draws a sub-audible tone field in the wide layout.,,0x0801F174
FUN_80020198,0x08022D98,AUDIO_SetPathOwner,Audio,Medium-High,RT-890 analog: SPEAKER_TurnOn/TurnOff(Owner). The 890 uses an owner bitmask; the 950 uses a 6-byte owner flag array at g_200001E2,Reference-counted enable for the audio output path.,"Odd param = claim owner, even = release; default case releases all and disables. Drives PE4 and PB8 high to enable, plus PC9. 25 callers.",0x08020198
FUN_08020370,0x08022F70,UI_DrawSquelchAndBandwidth,UI,High,"Decompile: loads 4 entries from the table at 0x080309A8 and 5 from 0x080309B8, formats each with lib_sprintf and draws them at y=0x27 and y=0x52",Draws the squelch-multiplier and channel-spacing menu values.,The two tables are the x16/x32/x64/x128 and 6.25k/8.33k/12.5k/20.0k/25.0k string lists. Only readable at all because of the 0x2C00 image correction.,0x08020370
FUN_08020418,0x08023018,UI_DrawModeLabel,UI,Medium,"Decompile: three-entry string table at 0x080309CC, indexed by param % 2, drawn at x=0xCF y=0x26",Draws a short mode label in the top-right field.,Index is taken modulo 2 although the table holds three entries; the third may be unused or reached elsewhere.,0x08020418
FUN_08020480,0x08023080,UI_DrawTitleField,UI,Low-Medium,"Decompile: fills the fixed window x 0x2A..0xCC, y 0x31..0x4B, draws one argument through a text helper at that origin, then flushes",Redraws a fixed titled field near the top of the screen.,"Shape-based: the window is hard-coded, so this is one specific screen region, but which field it is has not been established.",0x08020480
FUN_08020f6c,0x08023B6C,SPIFLASH_IsBusy,Storage,Medium-High,Polled in a loop after page program until it returns zero,Reads the status register and returns the WIP/busy bit.,Standard SPI NOR RDSR (0x05) poll.,0x08020F6C
FUN_80020f80,0x08023B80,SPIFLASH_Erase32K,Storage,Medium,Existing catalog entry,Block erase (32 KiB).,Retained.,0x08020F80
FUN_80020ff0,0x08023BF0,SPIFLASH_Erase64K,Storage,Medium,Existing catalog entry,Block erase (64 KiB).,Retained.,0x08020FF0
FUN_800210c0,0x08023CC0,SPIFLASH_Erase4K,Storage,Medium,"Existing catalog entry (Software_SPI_FlashErase4K), consistent with the SPI NOR command set",Sector erase.,Retained; renamed for consistency with SPIFLASH_ReadBytes.,0x080210C0
FUN_80021180,0x08023D80,SPIFLASH_ReadBytes,Storage,High,"Decompile: asserts PB12, sends command 0x03 plus a 24-bit big-endian address, then streams bytes in",Reads a byte range from the external SPI NOR flash.,"*** CORRECTION *** pinout.md attributes PB12 to 'BK4829 #1 on hardware SPI1'. Command 0x03 is SPI NOR READ, and Hertzz58 hardware-verified PB12 as FLASH_CS on SPI2. No SPI1 register access appears anywhere in the image.",0x08021180
FUN_08021234,0x08023E34,SPIFLASH_XferByte,Storage,High,Innermost bit-bang byte routine used by every SPI NOR command sequence,Shifts one byte out to the serial flash.,Previously catalogued as Software_SPI_Write_Byte.,0x08021234
FUN_08021290,0x08023E90,SPIFLASH_PageProgram,Storage,High,"Decompile: CS low on PB12, command 0x02 + 24-bit address, data bytes, CS high, then polls busy with a 10000-iteration timeout",Programs up to one 256-byte page of the serial flash.,0x02 is SPI NOR PAGE PROGRAM. Confirms PB12 = flash CS (see SPIFLASH_ReadBytes).,0x08021290
FUN_08021314,0x08023F14,SPIFLASH_WriteBytes,Storage,High,"Decompile: computes 0x100 - (addr & 0xff) and splits the transfer on 256-byte boundaries, calling SPIFLASH_PageProgram per chunk",Page-boundary-aware write of an arbitrary byte range.,This is the function to use when patching stored settings; writing across a page boundary directly would wrap within the page.,0x08021314
FUN_0802137c,0x08023F7C,SPIFLASH_WriteEnable,Storage,Medium-High,"Called immediately before every program/erase sequence, the standard place for SPI NOR WREN (0x06)",Issues WRITE ENABLE before a program or erase.,Command byte not re-read in this pass; position in the sequence is the evidence.,0x0802137C
FUN_08021b9c,0x0802479C,RADIO_RunStateMachine,System,Medium-High,"Decompile: switch on the state byte at SRAM 0x2000A334[4] with at least nine cases; case 1 arms the TX path via RF_SelectPath(band, 2), loads a timeout from settings[5] and advances the state",One pass of the main receive/transmit state machine.,"The core sequencer - the highest-value function to finish decomposing. Touches 12 distinct settings bytes, more than any other function. settings[5] is scaled by 300 into a tick countdown, which is the shape of a TX time-out timer.",0x08021B9C
FUN_080221b0,0x08024DB0,Util_CenterString,Util,High,"Decompile: if the string is at least as long as the field, copy field-width bytes; otherwise space-fill the field (memset value 0x20) and copy the string at offset (width - length) / 2",Copies a string centred within a fixed-width field.,The (width - len) >> 1 offset is unambiguous centring. Used by the UI to lay out labels in fixed cells.,0x080221B0
FUN_08022248,0x08024E48,RADIO_AbortToRx,System,Medium-High,"The shared bail-out target of states 3 and 8: calls two teardown helpers, sets a 0x28 timer, and clears the mode byte when SYS_GetModeFlag is non-zero",Abandons the current transmit sequence and returns to receive.,,0x08022248
FUN_08022be8,0x080257E8,AUDIO_PlayVoicePrompt,Audio,Medium-High,Decompile: gated on the voice-prompt enable byte settings[7]; when the language byte settings[8] is not 1 it adds 0x3C to the prompt index before queueing it at 0x200106FC,Queues a numbered voice prompt in the selected language.,The +0x3C language offset means the voice bank holds 60 prompts per language laid out back to back - which fits the tagged-record region described in FINDINGS.md as a probable voice bank.,0x08022BE8
FUN_08022c4c,0x0802584C,AUDIO_PlayPromptOrBeep,Audio,Medium,"Decompile: if SRAM 0x2000A7C0[7] is set and the first argument is non-zero, plays a voice prompt; otherwise falls back to a plain beep","Plays a voice prompt when enabled, else a beep.",SRAM 0x2000A7C0[7] is the voice-prompt enable setting.,0x08022C4C
FUN_8002322c,0x08025E2C,LCD_WriteData16,Display,High,Called twice per coordinate by LCD_SetAddressWindow,"Writes a 16-bit value as two data bytes, MSB first.",Not previously catalogued.,0x0802322C
FUN_08025564,0x08028164,SYS_DelayMsPumping,System,Medium-High,Decompile: writes ms+1 into the counter at SRAM 0x2000A26C then spins calling the task pump until it reaches zero,Cooperative blocking delay that keeps background tasks running.,Unlike DELAY_WaitMS this does not stall the radio; use it for UI dwell times. 10 callers.,0x08025564
FUN_8002572c,0x0802832C,APRS_FormatVX8,APRS,Low,Literal pool reaches 'VX-8',Formats a Yaesu VX-8 style APRS message or identifies that device type.,Newly surfaced; speculative.,0x0802572C
FUN_08026fb2,0x08029BB2,SI4732_SendCommand,SI4732,Medium,Its only identified caller builds a 6-byte SI4732 SET_PROPERTY frame and passes it here; the body is a start / delay / transfer sequence over the bit-banged bus,Sends a command frame to the SI4732 broadcast receiver.,*** CORRECTS MY OWN EARLIER GUESS *** I named this LCD_SendInitSequence purely from its address neighbourhood (0x08026xxx sits near the LCD code). The caller evidence says SI4732. Hertzz58 puts the SI4732 on bit-banged I2C at PB6/PB7.,0x08026FB2
FUN_0802700c,0x08029C0C,SI4732_SetProperty,SI4732,High,"Decompile: builds the byte sequence 0x12, 0x00, prop_hi, prop_lo, val_hi, val_lo in a 6-byte buffer at SRAM 0x2000019E and sends it. That is exactly the Si47xx SET_PROPERTY command frame",Sets an SI4732 property.,"Command 0x12 with a zero second byte and two big-endian 16-bit fields is the documented Si47xx SET_PROPERTY layout, which makes this identification essentially certain despite the surrounding code being unnamed. Also gives SRAM 0x2000019E as the SI4732 command buffer.",0x0802700C
FUN_0802717c,0x08029D7C,LCD_FillRect,Display,High,Decompile: LCD_SetWindow then pushes one constant colour for w*h pixels,Fills a rectangle with a solid colour.,"Args (y, x, w, h, colour). The constant-colour counterpart to LCD_DrawImage.",0x0802717C
FUN_800271c0,0x08029DC0,LCD_WriteCommand,Display,High,Existing entry confirmed by disassembly; corrected polarity,Emits one command byte on the 8080 bus.,"Sequence with corrected polarity: CS(PD1) LOW = assert, D/C(PD3) LOW = command, WR(PD0) LOW then HIGH latches. Corroborated by Hertzz58 LCD_WR/CS/DC pin notes.",0x080271C0
FUN_80027220,0x08029E20,LCD_WriteData,Display,High,Existing entry; same handshake as LCD_WriteCommand with D/C high,Emits one data byte on the 8080 bus.,,0x08027220
FUN_80027280,0x08029E80,LCD_DrawBitmap1bpp,Display,High,"Decompile: nested loop over a 1-bit-per-pixel source, 8-row banding, foreground/background colour args",Blits a monochrome glyph or icon with selectable colours.,"Args: (x, y, h, w, src, bg_colour, fg_colour). Clamps to 240 rows. RT-890 analog: FONT_Draw / gfx helpers.",0x08027280
FUN_08027300,0x08029F00,LCD_DrawImage,Display,High,Decompile: LCD_SetWindow then row-major loop pushing byte-swapped RGB565 pairs from a source buffer,Blits a full-colour image/sprite to the panel.,"Args (y, x, w, h, src). 23 callers. Companion to LCD_DrawBitmap1bpp, which handles the 1-bpp case.",0x08027300
FUN_80027354,0x08029F54,LCD_StartRamWrite,Display,High,Body is exactly LCD_WriteCommand(0x2C),Issues MIPI-DCS RAMWR to begin pixel streaming.,Not previously catalogued.,0x08027354
FUN_080279c8,0x0802A5C8,lib_softfloat_double_d,libc,Medium,As above,Compiler soft-float double-precision routine.,Not firmware logic. This block (0x08027C00-0x08029600) is almost entirely compiler runtime.,0x080279C8
FUN_08027c48,0x0802A848,lib_softfloat_double_c,libc,Medium,"Same signature as the other double helpers: 64-bit exponent masking, FPSCR reference, inline literal pool reached through lr",Compiler soft-float double-precision routine.,Not firmware logic.,0x08027C48
FUN_080281dc,0x0802ADDC,lib_aeabi_i2d,libc,High,"Decompile: extracts the sign, negates to absolute value, normalises with a leading-zero count, then assembles exponent (0x41D - lz) << 20 and a mantissa from the shifted value. 0x41D = 1053 = the double bias 1023 + 30, which is exactly the int-to-double normalisation constant",Converts a signed 32-bit integer to double.,Precise identification of one of the soft-float helpers previously catalogued only generically. ARM EABI name __aeabi_i2d.,0x080281DC
FUN_08028224,0x0802AE24,lib_aeabi_ui2d,libc,High,Identical to lib_aeabi_i2d with the sign extraction removed,Converts an unsigned 32-bit integer to double.,ARM EABI name __aeabi_ui2d.,0x08028224
FUN_080282c4,0x0802AEC4,lib_softfloat_double_a,libc,Medium,"Manipulates the 0xFFE00000 exponent field of 64-bit values, references FPSCR, and reads its own inline constant pool via (lr + 2) & ~3 - the signature of an __aeabi double-precision helper",Compiler soft-float double-precision routine.,Not firmware logic; listed so a reader does not spend time on it. Exact operation (add/mul/div) not pinned down.,0x080282C4
FUN_08028484,0x0802B084,lib_softfloat_double_b,libc,Medium,"Same shape as lib_softfloat_double_a: double exponent masking, FPSCR reference, inline literal pool via lr",Compiler soft-float double-precision routine.,As above.,0x08028484
